Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,40,-
2018,Afghanistan,AFG,Norway,NOR,-,-,25,-
2018,Afghanistan,AFG,"New Zealand",NZL,-,-,95,-
2018,Afghanistan,AFG,Sweden,SWE,-,-,268,-
2018,Afghanistan,AFG,"United States of America",USA,-,-,839,-
2018,Angola,AGO,Canada,CAN,-,-,5,13
2018,Egypt,EGY,Australia,AUS,-,-,55,-
2018,Egypt,EGY,Canada,CAN,-,-,133,175
2018,Armenia,ARM,"United States of America",USA,-,-,32,-
2018,Burundi,BDI,Australia,AUS,-,-,217,-
2018,Burundi,BDI,Canada,CAN,-,-,322,234
2018,Burundi,BDI,Finland,FIN,-,-,5,-
2018,Burundi,BDI,Norway,NOR,-,-,5,-
2018,Burundi,BDI,Sweden,SWE,-,-,41,-
2018,Bhutan,BTN,Australia,AUS,-,-,145,-
2018,Bhutan,BTN,Canada,CAN,-,-,11,280
2018,Bhutan,BTN,"United States of America",USA,-,-,707,-
2018,Belarus,BLR,Canada,CAN,-,-,9,5
2018,Belarus,BLR,"United States of America",USA,-,-,169,-
2018,Cambodia,KHM,Australia,AUS,-,-,5,-
2018,"Central African Rep.",CAF,Australia,AUS,-,-,34,-
2018,"Central African Rep.",CAF,Canada,CAN,-,-,203,15
2018,"Central African Rep.",CAF,France,FRA,-,-,115,19
2018,"Central African Rep.",CAF,Norway,NOR,-,-,11,-
2018,"Central African Rep.",CAF,Sweden,SWE,-,-,68,-
2018,"Central African Rep.",CAF,"United States of America",USA,-,-,150,-
2018,Chad,TCD,Canada,CAN,-,-,9,27
2018,Chad,TCD,France,FRA,-,-,5,24
2018,Chad,TCD,Sweden,SWE,-,-,5,-
2018,China,CHN,Canada,CAN,-,-,7,394
2018,Cameroon,CMR,Canada,CAN,-,-,13,150
2018,Cameroon,CMR,Sweden,SWE,-,-,5,-
2018,Cameroon,CMR,"United States of America",USA,-,-,18,-
2018,Congo,COG,Canada,CAN,-,-,31,29
2018,Congo,COG,"Netherlands (Kingdom of the)",NLD,-,-,129,37
2018,Congo,COG,"New Zealand",NZL,-,-,5,-
2018,Congo,COG,"United States of America",USA,-,-,7,-
2018,"Dem. Rep. of the Congo",COD,Australia,AUS,-,-,1146,-
2018,"Dem. Rep. of the Congo",COD,Belgium,BEL,-,-,35,-
2018,"Dem. Rep. of the Congo",COD,Canada,CAN,-,-,1347,652
2018,"Dem. Rep. of the Congo",COD,Finland,FIN,-,-,130,-
2018,"Dem. Rep. of the Congo",COD,France,FRA,-,-,30,305
2018,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,279,-
2018,"Dem. Rep. of the Congo",COD,"Netherlands (Kingdom of the)",NLD,-,-,16,8
2018,"Dem. Rep. of the Congo",COD,Norway,NOR,-,-,706,-
2018,"Dem. Rep. of the Congo",COD,"New Zealand",NZL,-,-,11,-
2018,"Dem. Rep. of the Congo",COD,Sweden,SWE,-,-,613,-
2018,"Dem. Rep. of the Congo",COD,"United States of America",USA,-,-,9305,-
2018,Colombia,COL,Canada,CAN,-,-,156,753
2018,Colombia,COL,"New Zealand",NZL,-,-,195,-
2018,Colombia,COL,"United States of America",USA,-,-,136,-
2018,Ecuador,ECU,Canada,CAN,-,-,7,18
2018,Ecuador,ECU,"New Zealand",NZL,-,-,22,-
2018,"Equatorial Guinea",GNQ,Canada,CAN,-,-,5,5
2018,Eritrea,ERI,Australia,AUS,-,-,315,-
2018,Eritrea,ERI,Belgium,BEL,-,-,35,-
2018,Eritrea,ERI,Canada,CAN,-,-,4583,543
2018,Eritrea,ERI,Finland,FIN,-,-,59,-
2018,Eritrea,ERI,France,FRA,-,-,165,39
2018,Eritrea,ERI,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,111,-
2018,Eritrea,ERI,Germany,DEU,-,-,238,-
2018,Eritrea,ERI,Italy,ITA,-,-,54,-
2018,Eritrea,ERI,"Netherlands (Kingdom of the)",NLD,-,-,42,255
2018,Eritrea,ERI,Norway,NOR,-,-,21,-
2018,Eritrea,ERI,Sweden,SWE,-,-,389,-
2018,Eritrea,ERI,Switzerland,CHE,-,-,61,-
2018,Eritrea,ERI,"United States of America",USA,-,-,1340,-
2018,Ethiopia,ETH,Australia,AUS,-,-,308,-
2018,Ethiopia,ETH,Canada,CAN,-,-,997,703
2018,Ethiopia,ETH,France,FRA,-,-,35,6
2018,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,26,-
2018,Ethiopia,ETH,Italy,ITA,-,-,12,-
2018,Ethiopia,ETH,Sweden,SWE,-,-,197,-
2018,Ethiopia,ETH,"United States of America",USA,-,-,346,-
2018,Gambia,GMB,Canada,CAN,-,-,5,19
2018,Palestinian,PSE,Australia,AUS,-,-,5,-
2018,Palestinian,PSE,Canada,CAN,-,-,59,42
2018,Palestinian,PSE,France,FRA,-,-,5,13
2018,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,178,-
2018,Palestinian,PSE,Italy,ITA,-,-,8,-
2018,Palestinian,PSE,"New Zealand",NZL,-,-,73,-
2018,Ghana,GHA,"United States of America",USA,-,-,5,-
2018,Guatemala,GTM,Canada,CAN,-,-,15,77
2018,Guatemala,GTM,"United States of America",USA,-,-,48,-
2018,Guinea,GIN,Canada,CAN,-,-,6,65
2018,Guinea,GIN,"United States of America",USA,-,-,10,-
2018,Honduras,HND,Canada,CAN,-,-,9,66
2018,Honduras,HND,"United States of America",USA,-,-,71,-
2018,"Cote d'Ivoire",CIV,Canada,CAN,-,-,40,53
2018,"Cote d'Ivoire",CIV,Finland,FIN,-,-,5,-
2018,"Cote d'Ivoire",CIV,France,FRA,-,-,25,91
2018,"Cote d'Ivoire",CIV,"United States of America",USA,-,-,14,-
2018,India,IND,Australia,AUS,-,-,222,-
2018,India,IND,Canada,CAN,-,-,5,289
2018,India,IND,"New Zealand",NZL,-,-,5,-
2018,India,IND,"United States of America",USA,-,-,15,-
2018,Indonesia,IDN,Australia,AUS,-,-,5,-
2018,Indonesia,IDN,"United States of America",USA,-,-,13,-
2018,"Iran (Islamic Rep. of)",IRN,Australia,AUS,-,-,183,-
2018,"Iran (Islamic Rep. of)",IRN,Canada,CAN,-,-,300,841
2018,"Iran (Islamic Rep. of)",IRN,France,FRA,-,-,5,62
2018,"Iran (Islamic Rep. of)",IRN,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,25,-
2018,"Iran (Islamic Rep. of)",IRN,Italy,ITA,-,-,5,-
2018,"Iran (Islamic Rep. of)",IRN,Norway,NOR,-,-,7,-
2018,"Iran (Islamic Rep. of)",IRN,"New Zealand",NZL,-,-,12,-
2018,"Iran (Islamic Rep. of)",IRN,Sweden,SWE,-,-,14,-
2018,"Iran (Islamic Rep. of)",IRN,"United States of America",USA,-,-,14,-
2018,Iraq,IRQ,Australia,AUS,-,-,3639,-
